timestamp,ActivePowerL3,CurrentL3,VoltageL3,IRRADIATION,temp
2025-11-22T04:13:45.209Z,62.40044022,0.495613903,216.4714966,0.450463589,22.94
2025-11-22T04:13:45.646Z,62.39841461,0.494006753,216.6698608,0.327143313,22.81
2025-11-22T04:13:47.215Z,62.48044968,0.495693028,216.6955261,0.29187837,23
2025-11-22T04:13:47.646Z,62.39321899,0.495147407,216.7001953,0.300254016,23
2025-11-22T04:13:49.222Z,62.43858719,0.495188177,216.7419739,0.203801124,22.94
2025-11-22T04:13:49.657Z,62.72743225,0.496036172,216.7831116,0.133998558,22.94
2025-11-22T04:13:51.252Z,62.91405869,0.496416092,216.7595367,0.066811797,22.81
2025-11-22T04:13:51.736Z,62.47806168,0.493107438,216.8664093,0.028155149,22.88
2025-11-22T04:13:53.244Z,62.50555801,0.494603515,216.822876,0.01789523,22.81
2025-11-22T04:13:53.673Z,62.36561966,0.494088978,216.6396637,0.010471804,22.88
2025-11-22T04:13:55.244Z,62.43803787,0.494921654,216.6257935,0.002684918,22.81
2025-11-22T04:13:55.677Z,62.46023941,0.495312721,216.6902161,0,22.88
2025-11-22T04:13:57.257Z,62.63623428,0.496605724,216.6894989,0,22.94
2025-11-22T04:13:57.681Z,62.4817009,0.494689822,216.6112366,0,22.81
2025-11-22T04:13:59.283Z,62.48756409,0.494815379,216.5139771,0,22.75
2025-11-22T04:13:59.690Z,62.56204605,0.495871693,216.5981903,0,22.56
2025-11-22T04:14:01.272Z,62.73806,0.497110069,216.5813446,0,22.62
2025-11-22T04:14:01.709Z,62.4479599,0.495533228,216.520874,0,22.94
2025-11-22T04:14:03.276Z,62.58382416,0.496033758,216.5161133,0,22.88
2025-11-22T04:14:03.705Z,62.52078247,0.496605694,216.5798187,0.000120426,22.69
2025-11-22T04:14:05.278Z,62.56911087,0.497722387,216.6507263,0,22.62
2025-11-22T04:14:05.723Z,62.28652191,0.495244324,216.6014099,0,22.44
2025-11-22T04:14:07.277Z,62.19979095,0.494121015,216.5987549,0,22.31
2025-11-22T04:14:07.707Z,62.34699249,0.494629025,216.6393127,0,22.25
2025-11-22T04:14:09.295Z,62.5864296,0.496838808,216.6667786,0,22.25
2025-11-22T04:14:09.729Z,62.50149536,0.496080309,216.6900635,0,22.44
2025-11-22T04:14:11.294Z,62.25361252,0.494185805,216.5352783,0,22.44
2025-11-22T04:14:11.730Z,62.21291351,0.494768739,216.4456482,0,22.5
2025-11-22T04:14:13.308Z,62.59791946,0.498083293,216.4251404,0,22.5
2025-11-22T04:14:13.740Z,62.45178223,0.497156709,216.3712311,0,22.31
2025-11-22T04:14:15.311Z,62.4368782,0.495554805,216.4897614,0,22.25
2025-11-22T04:14:15.747Z,62.46159363,0.4957003,216.5415649,0,22.31
2025-11-22T04:14:17.311Z,62.34255219,0.496275723,216.5848999,0,22.38
2025-11-22T04:14:17.761Z,62.27268219,0.495461166,216.6299744,0,22.31
2025-11-22T04:14:19.327Z,62.32021332,0.495429903,216.6120911,0,22.31
2025-11-22T04:14:19.761Z,62.42050171,0.495364547,216.6493225,0,22.31
2025-11-22T04:14:21.338Z,62.53946304,0.496746033,216.6448364,0,22.19
2025-11-22T04:14:21.771Z,62.42750549,0.495571971,216.6190033,0,22.5
2025-11-22T04:14:23.345Z,62.37465668,0.494537771,216.6544952,0,22.62
2025-11-22T04:14:23.773Z,62.30174637,0.493833363,216.6227722,0,22.94
2025-11-22T04:14:25.348Z,62.38952637,0.494774103,216.6100464,0,23
2025-11-22T04:14:25.778Z,62.45319366,0.494826883,216.6567383,0,22.88
2025-11-22T04:14:27.362Z,62.44067764,0.493733138,216.5224762,0,22.75
2025-11-22T04:14:27.779Z,62.3274765,0.492576033,216.5535126,0,22.75
2025-11-22T04:14:29.362Z,62.25294495,0.493468195,216.6684418,0,22.94
2025-11-22T04:14:29.802Z,62.32932281,0.493598521,216.7490387,0,23.19
2025-11-22T04:14:31.377Z,62.41493225,0.493360966,216.7055664,0,23.38
2025-11-22T04:14:31.818Z,62.31963348,0.493887186,216.6304169,0,23.25
2025-11-22T04:14:33.394Z,62.74433899,0.497562051,216.5679321,0,23.31
2025-11-22T04:14:33.823Z,62.57818222,0.496947527,216.5528564,0,23.25
2025-11-22T04:14:35.391Z,62.53868484,0.495581508,216.5817261,0,23.19
2025-11-22T04:14:35.825Z,62.29424667,0.493804485,216.5624847,0,23.44
2025-11-22T04:14:37.396Z,62.5423584,0.496164829,216.4841003,0,23.56
2025-11-22T04:14:37.826Z,62.56597137,0.496338755,216.4692993,0,23.5
2025-11-22T04:14:39.411Z,62.49521637,0.494520485,216.6630096,0.001471635,23.38
2025-11-22T04:14:39.828Z,62.5890274,0.494236231,216.6910706,0.013038687,23.12
2025-11-22T04:14:41.412Z,62.44382858,0.494073093,216.6268005,0.035180242,23
2025-11-22T04:14:41.835Z,62.43137741,0.493247062,216.5704651,0.060925588,23.06
2025-11-22T04:14:43.432Z,62.41993332,0.492340177,216.4740753,0.087556915,23.12
2025-11-22T04:14:43.838Z,62.47667313,0.492254555,216.4338837,0.127115761,23.06
2025-11-22T04:14:45.425Z,62.47442245,0.493752241,216.4561157,0.197786869,23.12
2025-11-22T04:14:45.861Z,62.45495605,0.493420333,216.3834839,0.315163709,22.81
2025-11-22T04:14:47.425Z,62.39163589,0.492530316,216.1853333,0.305885265,23.06
2025-11-22T04:14:47.863Z,62.28407288,0.492314458,215.995697,0.440460199,23
2025-11-22T04:14:49.426Z,62.20281219,0.493038088,216.0567322,0.489959157,22.81
2025-11-22T04:14:49.862Z,62.47288132,0.494830012,216.0882416,0.549968968,22.75
2025-11-22T04:14:51.441Z,62.48505783,0.494464487,216.1038818,0.578960932,22.88
2025-11-22T04:14:51.866Z,62.4289856,0.49365139,216.1217804,0.656503246,22.94
2025-11-22T04:14:53.467Z,62.41488266,0.494648665,216.0750732,0.705570373,23
2025-11-22T04:14:53.875Z,62.41488266,0.494648665,216.0750732,0.75266092,22.81
2025-11-22T04:14:55.476Z,62.4450798,0.493222594,216.3980713,0.790835997,22.81
2025-11-22T04:14:55.868Z,62.4450798,0.493222594,216.3980713,0.821054863,22.75
2025-11-22T04:14:57.481Z,62.36825562,0.494334072,216.4458618,0.850826362,22.62
2025-11-22T04:14:57.871Z,62.36825562,0.494334072,216.4458618,0.894437866,22.62
2025-11-22T04:14:59.477Z,62.42379379,0.494679093,216.4690094,0.884239356,22.75
2025-11-22T04:14:59.876Z,62.42379379,0.494679093,216.4690094,0.919856763,22.75
2025-11-22T04:15:01.480Z,62.44740295,0.494995803,216.6097717,0.930322056,22.81
2025-11-22T04:15:01.890Z,62.44740295,0.494995803,216.6097717,0.981038666,22.69
2025-11-22T04:15:01.969Z,62.44740295,0.494995803,216.6097717,0.98961924,22.88
2025-11-22T04:15:03.501Z,62.4035759,0.492997825,216.7584534,0.97979434,22.69
2025-11-22T04:15:03.913Z,62.4035759,0.492997825,216.7584534,0.603739501,22.44
2025-11-22T04:15:05.505Z,62.18996048,0.488705099,216.782074,0.731962184,22.25
2025-11-22T04:15:05.917Z,62.18996048,0.488705099,216.782074,0.487048712,22.44
2025-11-22T04:15:07.503Z,62.64614105,0.490465254,217.0591278,0.70216736,22.31
2025-11-22T04:15:07.918Z,62.64614105,0.490465254,217.0591278,0.682597903,22.5
2025-11-22T04:15:08.248Z,62.64614105,0.490465254,217.0591278,0.841435496,22.62
